1,CS,Chromobacterium Subtsugae,B,360,2,1025DB,24,28-29.5,28-29.5,28-29.5,80,-1,-1,5-7.2,-1,-1
2,PA,Priestia Aryabhattai,B,360,2,1025DB,48,28-29.5,28-29.5,28-29.5,80,70,-1,5-7.2,5-7.2,-1 
3,BTK,Bacillus Thuringiensis Kurstaki,B,360,2,1025DB,48,28-29.5,28-29.5,28-29.5,80,70,-1,5-7.2,5-7.2,-1
4,BTA,Bacillus Thuringiensis Aizawai,B,360,2,1025DB,48,28-29.5,28-29.5,28-29.5,80,70,-1,5-7.2,5-7.2,-1
5,AB,Azospirillum Brasilense,B,360,2,1235iDB,48,28-29.5,28-29.5,28-29.5,80,80,-1,5-7.2,5-7.2,-1 
6,BD,Bradyrhizobium Diazoefficiens,B,360,2,1235iDB,48,28-29.5,28-29.5,28-29.5,80,80,-1,5-7.2,5-7.2,-1
7,PF,Pseudomonas Fluorescens,B,360,2,1025DB,24,28-29.5,28-29.5,28-29.5,80,-1,-1,5-7.2,-1,-1
8,BF,Bacillus Firmus,B,360,2,1025DB,48,28-29.5,28-29.5,28-29.5,80,70,-1,5-7.2,5-7.2,-1
9,BJ,Bradyrhizobium Japonicum,B,360,2,1235iDB,48,28-29.5,28-29.5,28-29.5,80,80,-1,5-7.2,5-7.2,-1
10,BP,Bacillus Pumilus,B,360,2,1025DB,48,28-29.5,28-29.5,28-29.5,80,70,-1,5-7.2,5-7.2,-1
11,BMG,Bacillus Megaterium,B,360,2,1025DB,48,28-29.5,28-29.5,28-29.5,80,70,-1,5-7.2,5-7.2,-1
12,BL,Bacillus Licheniformis,B,360,2,1025DB,48,28-29.5,28-29.5,28-29.5,80,70,-1,5-7.2,5-7.2,-1
13,BA,Bacillus Amyloliquefaciens,B,360,2, 1025DB, 48,28-29.5,28-29.5,28-29.5,80, 70, -1,5-7.2, 5-7.2, -1
14,BV,Bacillus Velezensis,B,360,2,1025DB, 48,28-29.5,28-29.5,28-29.5, 80, 70, -1, 5-7.2, 5-7.2, -1
15,RT,Rhizobium Tropicci,B,360,2,1235iDB, 48,28-29.5,28-29.5,28-29.5, 80, 70, -1, 5-7.2, 5-7.2, -1
16,BS,Bacillus Subtilis,B,360,2,1025DB, 48,28-29.5,28-29.5,28-29.5, 80, 70, -1, 5-7.2, 5-7.2, -1
17,BMT,Bacillus Methylotropicus,B,360,2, 1025DB, 48,28-29.5,28-29.5, 28-29.5, 80, 70, -1, 5-7.2, 5-7.2, -1
18,PC,Pochonia Chlamydosporia,F,168,2, 1035fDB, 72,27-28, 25-27.5,25-27.5, 75, 75, 65, 3.5-5.5, 2-12, 2-12
19,TH,Trichoderma Harzianum,F,168,2, 1035fDB, 72,27-28, 25-27.5,25-27.5, 75, 75, 65, 3.5-5.5, 2-12, 2-12
20,TA,Trichoderma Asperellum,F,168,2, 1035fDB, 72,27-28, 25-27.5,25-27.5, 75, 75, 65, 3.5-5.5, 2-12, 2-12
21,IF,Isaria Fumosorosea,F,168,2, 1035fDB, 72,27-28, 25-27.5,25-27.5, 75, 75, 65, 3.5-5.5, 2-12, 2-12
22,BB,Beauveria Bassiana,F,168,2, 1035fDB, 72,27-28, 25-27.5,25-27.5, 75, 75, 65, 3.5-5.5, 2-12, 2-12
23,PL,Purpureocillium Lilacinum,F,168,2,1035fDB, 72,27-28, 25-27.5, 25-27.5, 75, 75, 65, 3.5-5.5, 2-12, 2-12
24,MA,Metarhizium Anisopliae,F,168,2,1035fDB, 72,27-28, 25-27.5, 25-27.5, 75, 75, 65, 3.5-5.5, 2-12, 2-12
999,EMPTY,Sem Organismo,N,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
